Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER REGISTRATION,BMS-1,10096,Epic,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:47 AM,02/Apr/26 11:47 AM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52a6ccdc,,,,,ghx-label-2,,To Do,,,,dark_yellow,,,,,0|i000an:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 11:47 AM
AS A USER I SHOULD BE ABLE TO REGISTER,BMS-2,10097,Story,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:48 AM,02/Apr/26 11:55 AM,02/Apr/26 11:48 AM,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@506e90e7,,,,,,,,,,,,,,,,0|i000av:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10096,BMS-1,USER REGISTRATION,To Do,02/Apr/26 11:48 AM
WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,BMS-3,10098,Task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:49 AM,02/Apr/26 11:55 AM,02/Apr/26 11:49 AM,,04/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ad46f09,,,,,,,,,,,,,,,,0|i000b3:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10096,BMS-1,USER REGISTRATION,To Do,02/Apr/26 11:49 AM
WRITE TEST CASE  FOR FULL NAME,BMS-4,10100,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:51 AM,02/Apr/26 11:51 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1681a5bc,,,,,,,,,,,,,,,,0|i000bb:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:51 AM
WRITE TEST CASE FOR EMAIL ADDRESS FIELD,BMS-5,10102,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:52 AM,02/Apr/26 11:52 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5340f02a,,,,,,,,,,,,,,,,0|i000bj:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:52 AM
WRITE TEST CASE FOR MOBILE NUMBER FIELD,BMS-6,10104,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:53 AM,02/Apr/26 11:53 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cd68f22,,,,,,,,,,,,,,,,0|i000br:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:53 AM
WRITE TEST CASE FOR OTP FIELD,BMS-7,10106,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:53 AM,02/Apr/26 11:53 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36a44c6,,,,,,,,,,,,,,,,0|i000bz:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:53 AM
WRITE TEST CASE FOR PASSWORD FIELD,BMS-8,10108,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:53 AM,02/Apr/26 11:53 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52eaa239,,,,,,,,,,,,,,,,0|i000c7:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:53 AM
WRITE TEST CASE FOR CONFIRM PASSWORD,BMS-9,10110,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:54 AM,02/Apr/26 11:54 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11bbdc5c,,,,,,,,,,,,,,,,0|i000cf:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:54 AM
WRITE TEST CASE FOR TERMS AND CONDITION,BMS-10,10112,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:54 AM,02/Apr/26 11:54 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42a9ecda,,,,,,,,,,,,,,,,0|i000cn:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:54 AM
WRITE TEST CASE FOR SIGN UP BUTTON,BMS-11,10114,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 11:54 AM,02/Apr/26 11:54 AM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55dc698c,,,,,,,,,,,,,,,,0|i000cv:,,,BMS Sprint 1,,,,,,,,,,,,10098,BMS-3,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,02/Apr/26 11:54 AM
